证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期
832802,保丽洁,63083300,16998918,2023-02-06,专用设备制造业,江苏省,2025-05-23
832876,慧为智能,64180659,38644714,2022-11-09,计算机、通信和其他电子设备制造业,广东省,2025-05-23
832885,星辰科技,170615000,88023583,2021-07-08,仪器仪表制造业,广西壮族自治区,2025-05-23
832978,开特股份,179261468,100166948,2023-09-28,汽车制造业,湖北省,2025-05-23
832982,锦波生物,88511800,45891080,2023-07-20,医药制造业,山西省,2025-05-23
833030,立方控股,92243236,55465763,2023-11-02,软件和信息技术服务业,浙江省,2025-05-23
833075,柏星龙,64815000,34878864,2022-12-14,印刷和记录媒介复制业,广东省,2025-05-23
833171,国航远洋,555407453,286938449,2022-12-15,水上运输业,福建省,2025-05-23
833230,欧康医药,77267304,35930011,2022-12-09,医药制造业,四川省,2025-05-23
833266,生物谷,124000007,77855236,2020-07-27,医药制造业,云南省,2025-05-23
833284,灵鸽科技,104785645,67762315,2023-12-19,专用设备制造业,江苏省,2025-05-23
833346,威贸电子,80677603,44358668,2022-02-23,计算机、通信和其他电子设备制造业,上海市,2025-05-23
833394,民士达,146250000,47953750,2023-04-25,纺织业,山东省,2025-05-23
833427,华维设计,103095000,50620164,2021-02-05,专业技术服务业,江西省,2025-05-23
833429,康比特,124500000,113288891,2022-12-15,食品制造业,北京市,2025-05-23
833454,同心传动,105100000,63179125,2021-11-15,汽车制造业,河南省,2025-05-23
833455,汇隆活塞,177450000,91701156,2023-06-21,通用设备制造业,辽宁省,2025-05-23
833509,XD同惠电,161855696,82448378,2021-01-11,仪器仪表制造业,江苏省,2025-05-23
833523,德瑞锂电,101301369,81039513,2021-06-03,电气机械和器材制造业,广东省,2025-05-23
833533,骏创科技,100582560,37158007,2022-05-24,汽车制造业,江苏省,2025-05-23
833575,康乐卫士,280940000,187899922,2023-03-15,医药制造业,北京市,2025-05-23
833580,科创新材,86000000,55903561,2022-05-13,非金属矿物制品业,河南省,2025-05-23
833751,惠同新材,86780000,83067125,2023-07-17,金属制品业,湖南省,2025-05-23
833781,瑞奇智造,154567054,102082230,2022-12-26,专用设备制造业,四川省,2025-05-23
833873,中设咨询,153387002,110203517,2021-11-15,专业技术服务业,重庆市,2025-05-23
833914,远航精密,100000000,100000000,2022-11-11,计算机、通信和其他电子设备制造业,江苏省,2025-05-23
833943,优机股份,101521378,41202108,2022-06-24,通用设备制造业,四川省,2025-05-23
834014,特瑞斯,124448188,68534393,2022-12-13,专用设备制造业,江苏省,2025-05-23
834021,流金科技,308999983,251881971,2020-07-27,电信、广播电视和卫星传输服务,北京市,2025-05-23
834033,康普化学,119135250,82760958,2022-12-21,化学原料和化学制品制造业,重庆市,2025-05-23
834058,华洋赛车,56087050,27557923,2023-08-10,铁路、船舶、航空航天和其他运输设备制造业,浙江省,2025-05-23
834062,科润智控,186586277,132151255,2022-07-13,电气机械和器材制造业,浙江省,2025-05-23
834261,一诺威,291132748,170894686,2023-04-03,化学原料和化学制品制造业,山东省,2025-05-23
834407,驰诚股份,65680000,25926150,2023-02-16,仪器仪表制造业,河南省,2025-05-23
