板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
创业板,300501,海顺新材,2016-02-04,"193,537,806","125,201,176",C 制造业
创业板,300502,新易盛,2016-03-03,"708,806,652","630,190,920",C 制造业
创业板,300503,昊志机电,2016-03-09,"306,072,836","239,087,302",C 制造业
创业板,300504,天邑股份,2018-03-30,"271,024,580","218,251,531",C 制造业
创业板,300505,川金诺,2016-03-15,"274,867,523","217,361,222",C 制造业
创业板,300506,ST名家汇,2016-03-24,"695,596,569","653,549,489",E 建筑业
创业板,300507,苏奥传感,2016-04-29,"800,646,907","774,991,748",C 制造业
创业板,300508,维宏股份,2016-04-19,"109,836,120","82,983,248",C 制造业
创业板,300509,新美星,2016-04-25,"296,400,000","247,103,523",C 制造业
创业板,300510,金冠股份,2016-05-06,"824,690,700","824,690,700",C 制造业
创业板,300511,雪榕生物,2016-05-04,"592,592,450","511,820,376",A 农林牧渔
创业板,300512,中亚股份,2016-05-26,"407,640,875","328,343,526",C 制造业
创业板,300513,恒实科技,2016-05-30,"313,691,155","288,277,832",I 信息技术
创业板,300514,友讯达,2017-04-26,"200,000,000","160,258,325",C 制造业
创业板,300515,三德科技,2016-06-08,"205,754,500","190,771,675",C 制造业
创业板,300516,久之洋,2016-06-02,"180,000,000","180,000,000",C 制造业
创业板,300517,海波重科,2016-07-19,"200,409,437","124,021,712",E 建筑业
创业板,300518,新迅达,2016-06-24,"199,411,576","199,393,726",I 信息技术
创业板,300519,新光药业,2016-06-24,"160,000,000","114,100,000",C 制造业
创业板,300520,科大国创,2016-07-08,"291,791,018","277,813,433",I 信息技术
创业板,300521,爱司凯,2016-07-05,"144,000,000","143,998,740",C 制造业
创业板,300522,世名科技,2016-07-05,"322,451,507","263,105,621",C 制造业
创业板,300523,辰安科技,2016-07-26,"232,637,638","232,358,460",I 信息技术
创业板,300525,博思软件,2016-07-26,"758,210,292","621,862,242",I 信息技术
创业板,300527,中船应急,2016-08-05,"986,888,989","986,888,989",C 制造业
创业板,300528,幸福蓝海,2016-08-08,"372,608,054","372,608,054",R 文化传播
创业板,300529,健帆生物,2016-08-02,"798,605,275","512,467,200",C 制造业
创业板,300530,领湃科技,2016-08-09,"171,951,354","158,247,513",C 制造业
创业板,300531,优博讯,2016-08-09,"322,251,025","308,758,738",C 制造业
创业板,300532,今天国际,2016-08-18,"453,324,086","431,139,335",I 信息技术
创业板,300533,冰川网络,2016-08-18,"234,461,970","164,979,566",I 信息技术
创业板,300534,陇神戎发,2016-09-13,"303,345,000","302,051,488",C 制造业
创业板,300535,达威股份,2016-08-12,"104,801,463","76,445,046",C 制造业
创业板,300536,农尚环境,2016-09-20,"293,288,133","293,266,871",E 建筑业
创业板,300537,广信材料,2016-08-30,"200,395,122","143,924,989",C 制造业
创业板,300538,同益股份,2016-08-26,"181,918,573","120,985,248",F 批发零售
创业板,300539,横河精密,2016-08-30,"222,254,200","171,980,775",C 制造业
创业板,300540,蜀道装备,2016-08-23,"165,375,993","145,310,629",C 制造业
创业板,300541,先进数通,2016-09-13,"430,044,492","386,578,483",I 信息技术
创业板,300542,新晨科技,2016-09-20,"298,559,899","247,663,604",I 信息技术
创业板,300543,朗科智能,2016-09-08,"306,371,334","249,469,132",C 制造业
创业板,300545,联得装备,2016-09-28,"180,051,003","114,186,812",C 制造业
创业板,300546,雄帝科技,2016-09-28,"185,524,691","133,047,485",C 制造业
创业板,300547,川环科技,2016-09-30,"216,906,174","178,223,597",C 制造业
创业板,300548,博创科技,2016-10-12,"290,490,128","268,490,128",C 制造业
创业板,300549,优德精密,2016-09-30,"133,340,000","101,054,675",C 制造业
创业板,300550,和仁科技,2016-10-18,"262,560,141","262,316,361",I 信息技术
创业板,300551,古鳌科技,2016-10-18,"345,752,939","344,762,958",C 制造业
创业板,300552,万集科技,2016-10-21,"213,133,112","137,762,426",C 制造业
创业板,300553,集智股份,2016-10-21,"85,378,722","61,601,249",C 制造业
创业板,300554,三超新材,2017-04-21,"114,211,577","79,138,721",C 制造业
创业板,300555,ST路通,2016-10-18,"200,000,000","197,984,663",C 制造业
创业板,300556,丝路视觉,2016-11-04,"121,560,992","105,010,224",I 信息技术
创业板,300557,理工光科,2016-11-01,"93,035,959","91,217,181",C 制造业
创业板,300558,贝达药业,2016-11-07,"418,485,885","417,194,497",C 制造业
创业板,300559,佳发教育,2016-11-01,"399,514,567","311,136,833",I 信息技术
创业板,300560,中富通,2016-11-01,"229,743,622","186,964,785",I 信息技术
创业板,300561,*ST汇科,2016-11-17,"328,107,975","241,057,574",I 信息技术
创业板,300562,乐心医疗,2016-11-16,"217,466,188","161,007,761",C 制造业
创业板,300563,神宇股份,2016-11-14,"178,564,526","128,840,576",C 制造业
创业板,300564,筑博设计,2019-11-08,"162,883,200","113,191,750",M 科研服务
创业板,300565,科信技术,2016-11-22,"249,704,612","228,205,145",C 制造业
创业板,300566,激智科技,2016-11-15,"263,741,550","228,223,533",C 制造业
创业板,300567,精测电子,2016-11-22,"279,743,369","202,183,640",C 制造业
