year,新增数量,累计总数
1990,5,5
1991,0,5
1992,20,25
1993,57,82
1994,57,139
1995,13,152
1996,85,237
1997,69,306
1998,48,354
1999,36,390
2000,73,463
2001,72,535
2002,64,599
2003,64,663
2004,59,722
2005,2,724
2006,13,737
2007,25,762
2008,6,768
2009,8,776
2010,27,803
2011,37,840
2012,26,866
2013,1,867
2014,42,909
2015,89,998
2016,103,1101
2017,211,1312
2018,57,1369
2019,55,1424
2020,90,1514
2021,88,1602
2022,31,1633
2023,36,1669
2024,17,1686
2025,9,1695
